epoch,train_loss,val_loss,val_acc
1,2.5645697936415672,2.734953721635975,55.46875
2,0.6187392142601311,2.767775420565158,59.765625
3,0.3764585540338885,2.9908621194772422,64.0625
4,0.346695663058199,2.8853970690979622,66.796875
5,0.1983981083612889,3.1403632148867473,64.0625
6,0.1475557807716541,3.4455728202010505,61.71875
7,0.09932682582075358,3.6948621255578473,64.0625
8,0.09604624734402023,3.9241651807678863,63.28125
9,0.0697846006742111,3.614654455537675,66.015625
10,0.07234352333125571,3.9100228457173216,66.40625
